User_id,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,RFM_Score,Customer_Segment
AEP4MK3EKOBDKTGPJTRN5RBDIODA,658,3,857.0,489.5,57.0,643.0,1189.5,Low
AEP5UMK4KDMGZGBHBLZDB2R37OMA,411,1,325.0,191.0,668.5,898.0,1757.5,High
AEP6PYK2DLTD5UCMURSUNUE4IE5A,462,2,17368.0,256.5,162.0,66.0,484.5,Low
AEPLOFVKFHPQH4DFHKQXGKWL24NQ,1283,1,1563.0,1072.0,668.5,464.0,2204.5,VIP
AEPML5IRZNUCCZNZDPAXESOPY6OA,809,1,199.0,653.0,668.5,1007.0,2328.5,VIP
AEPQHZHEBKKLM6Q7IKBZNILWVCBA,1225,1,1599.0,1023.0,668.5,459.5,2151.0,VIP
AEPSWFPNECKO34PUC7I56ITGXR6Q,388,3,12950.0,174.5,57.0,108.0,339.5,Low
AEQ2YMXSZWEOHK2EHTNLOS56YTZQ,436,3,22356.0,221.5,57.0,48.0,326.5,Low
AEQ5OVCZQLS52SKPGHUA2X3GJIYQ,1135,1,199.0,942.5,668.5,1007.0,2618.0,VIP
AEQ5ZXLEZFYS2Q7GBBW6IDJTH5GQ,510,1,199.0,311.5,668.5,1007.0,1987.0,High
AEQH7UPNWWVMWQAZ2TKCXLZNLVLA,922,1,100.0,767.5,668.5,1077.5,2513.5,VIP
AEQHHPCXUH4O5BS4VOQNDBTAAORQ,937,1,5499.0,783.5,668.5,204.5,1656.5,Medium
AEQIJCPWSBCDKUO5VROXXHWX3PPA,718,3,1867.0,555.0,57.0,410.0,1022.0,Low
AEQJHCVTNINBS4FKTBGQRQTGTE5Q,393,5,8242.630000000001,180.0,8.5,158.0,346.5,Low
AEQWGO62V6K2GSMRMFGRW35NBTQA,1057,1,2199.0,884.0,668.5,369.0,1921.5,High
AEQWP6WIVLFP2L3MSAWW3RENW3XQ,574,1,349.0,377.0,668.5,877.0,1922.5,High
AEQWVGESA7TDGK7KZ4DAJQGYH32A,798,1,4699.0,644.5,668.5,217.0,1530.0,Medium
AER5ZGIXXVYG3AWZTRZT7M2BYCEA,1162,1,1199.0,972.0,668.5,558.0,2198.5,VIP
AER7Q5G4K2TF5X74DYBJCEEQ3VZQ,750,1,2742.0,590.5,668.5,310.0,1569.0,Medium
AERBQW23ELEQZRWXWOW5EFQ2AA7Q,336,2,2998.0,116.0,162.0,291.5,569.5,Low
AERD56GM7L442X34ICEOKG44MK2A,332,1,1990.0,110.5,668.5,398.0,1177.0,Low
AEREO7C5GLYYYV6YXK7X4UCCQTJQ,1155,1,3249.0,960.0,668.5,269.0,1897.5,High
AERFCJ6BOMVO5YW5XM5Z2ESOIK3A,339,4,2406.0,121.0,20.5,347.0,488.5,Low
AERIT7L44J4U5ZOSUK2JOSJF67PQ,721,1,219.0,562.0,668.5,983.5,2214.0,VIP
AERP2HDU5NDVDVWH2VDXZY3ITHRQ,664,1,299.0,499.0,668.5,913.5,2081.0,High
AERQBL3BISJQVHO3RLOOA4HKZX5A,659,3,2797.0,491.5,57.0,305.0,853.5,Low
AERVECDPABKJA75A3HLMML7JAQMQ,1160,1,39.0,969.0,668.5,1101.5,2739.0,VIP
AERVJSFWEB7B63J46ZBDVGL4HEPA,889,1,596.0,737.0,668.5,749.0,2154.5,VIP
AESE26BMILSD6E4AVO3YM76G4UPA,549,1,369.0,348.5,668.5,860.0,1877.0,High
AESFLDV2PT363T2AQLWQOWZ4N3OA,1127,1,249.0,932.5,668.5,957.5,2558.5,VIP
AESJE2EZD7S7WOYBN7RE7ZF3J2MA,568,2,5789.0,370.0,162.0,199.0,731.0,Low
AETM4APJU6TQILR5HKP3CSPYQL5A,971,1,229.0,816.0,668.5,976.5,2461.0,VIP
AETPKXNOTUEX5GH7WL7XQHDR5M7Q,478,4,5894.0,279.0,20.5,196.0,495.5,Low
AETRIARSUFSMNG5LFJZMW6CBJMMQ,1152,1,1799.0,956.0,668.5,424.5,2049.0,High
AETRLRK4QNNUXN3RRQ7BWMBAFXCA,1246,1,561.0,1037.5,668.5,757.0,2463.0,VIP
AEU4DZ5TUTNBTJHIYUDYHWXTSNSQ,778,1,425.0,626.0,668.5,817.5,2112.0,High
AEU5DHNTPNICV4DYIEYANIV36C4Q,1028,1,1599.0,854.0,668.5,459.5,1982.0,High
AEUAAKEA5FFOZ66HNIUQI3OJQDQA,883,1,999.0,732.0,668.5,602.0,2002.5,High
AEUDATTJUCKFQ5ETVLUU57ZZ3XXQ,575,2,1515.0,379.5,162.0,469.0,1010.5,Low
